year,tsub,sigma2
1006.0,2.2243389413164936,2.9751567207532705
1007.0,2.220170771698737,2.9733479129291207
1008.0,2.2163552344040074,2.9717222754790287
1009.0,2.212910542663245,2.9701777081730927
1010.0,2.2098087604560988,2.968714323910967
1011.0,2.2069839906799267,2.9671729394951636
1012.0,2.2044069229095182,2.965775564298891
1013.0,2.20206736313091,2.9647569532619387
1014.0,2.1999935861706574,2.964063298947996
1015.0,2.1981026937824635,2.96352688186185
1016.0,2.196365214439549,2.9632205623102306
1017.0,2.194845834782765,2.9631751616708537
1018.0,2.1935309807783767,2.9634998382272575
1019.0,2.1923109105100504,2.964187737376875
1020.0,2.1912857135887234,2.9651668553481447
1021.0,2.190481059607374,2.9663607785599333
1022.0,2.1900336149934745,2.9681179310881536
1023.0,2.18975882687736,2.9700196709539126
1024.0,2.1897205974030793,2.9720524739521803
1025.0,2.1899348196067856,2.974354942771571
1026.0,2.1903205392757976,2.9768385471883887
1027.0,2.190913115864865,2.9794432463813094
1028.0,2.191567985387023,2.9818823356557282
1029.0,2.1924142776006392,2.983897063277839
1030.0,2.1933447149799,2.9855713859998647
1031.0,2.1944276738551576,2.98714622782319
1032.0,2.1957488828277905,2.988827259360604
1033.0,2.19724222255895,2.9907907601899675
1034.0,2.1986966829936176,2.992654725467836
1035.0,2.199899549389017,2.9943206434902105
1036.0,2.2008358616864707,2.9958282267103042
1037.0,2.2013641147764558,2.997231747995574
1038.0,2.2013658481459104,2.998428856460325
1039.0,2.201027755460178,2.999473633459999
1040.0,2.2003469936643523,3.0005714497911766
1041.0,2.199242912229577,3.0016457423517684
1042.0,2.197857506299779,3.0026587049038587
1043.0,2.1963515504120465,3.0034848259790956
1044.0,2.1947966520427338,3.0040532009252656
1045.0,2.1932309765805407,3.0044091920510594
1046.0,2.191701278259632,3.0042717917537654
1047.0,2.1902670728146525,3.003593802862718
1048.0,2.1888765672041552,3.0026560403941667
